File #,Law Number,Type,Status,Committee,Prime Sponsor,Council Member Sponsors,Title
LU 0330-2016,,Land Use Application,Committee,Subcommittee on Zoning and Franchises,David G. Greenfield,1,"Application No. C 150417 ZSM submitted by 150 Wooster LLC pursuant to Sections 197-c and 201 of the New York City Charter for the grant of a special permit pursuant to Section 74-712(a) of the Zoning Resolution to modify the use regulations to allow residential and retail uses in a proposed 8-story building on property located at 150 Wooster Street (Block 514, Lots 7 and 9) Borough of Manhattan, Community Board 2, Council District 1."
LU 0329-2016,,Land Use Application,Committee,Subcommittee on Zoning and Franchises,David G. Greenfield,1,"Application No. N 150416 ZRM submitted by 150 Wooster LLC pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying Section 74-712, concerning the special permit for developments in an historic district within M1-5A and M1-5B districts, Borough of Manhattan, Community Board 2, Council District 1."
LU 0328-2016,,Land Use Application,Committee,Subcommittee on Zoning and Franchises,David G. Greenfield,1,"Application No. C 150385 ZSM submitted by 323 Equities, LLC pursuant to Sections 197-c and 201 of the New York City Charter for the grant of a special permit pursuant to Section 74-711 of the Zoning Resolution to modify the use regulations to allow residential and retail uses in an existing building on property located at 323 Canal Street (Block 230, Lot 6) Borough of Manhattan, Community Board 2, Council District 1."
LU 0327-2016,,Land Use Application,Committee,Subcommittee on Zoning and Franchises,David G. Greenfield,1,"Application No. C 150384 ZSM submitted by 321 New Canal, LLC pursuant to Sections 197-c and 201 of the New York City Charter for the grant of a special permit pursuant to Section 74-711 of the Zoning Resolution to modify the use regulations to allow residential and retail uses in an existing building on property located at 321 Canal Street (Block 230, Lot 5) Borough of Manhattan, Community Board 2, Council District 1."
M 0367-2016,,Land Use Call-Up,Adopted,City Council,David G. Greenfield,1,"By the Chair of the Land Use Committee Council Member Greenfield: Pursuant to Rule 11.20(c) of the Council Rules and Section 197-d(b)(3) of the New York City Charter, the Council hereby resolves that the action of the City Planning Commission on Uniform Land Use Review Procedure application nos. C 150417 ZSM and C 150418 ZSM shall be subject to Council review. These items are related to Application no. N 150416 ZRM which is subject to Council review pursuant to Section 197-d(b)(1) of the New York City Charter."
M 0366-2016,,Land Use Call-Up,Adopted,City Council,Margaret S. Chin,1,"By Council Member Chin: Pursuant to Rule 11.20(b) of the Council and Section 197-d(b)(3) of the New York City Charter, the Council hereby resolves that the action of the City Planning Commission on Uniform Land Use Review Procedure Application No. C 150385 ZSM shall be subject to Council Review."
M 0365-2016,,Land Use Call-Up,Adopted,City Council,Margaret S. Chin,1,"By Council Member Chin: Pursuant to Rule 11.20(b) of the Council and Section 197-d(b)(3) of the New York City Charter, the Council hereby resolves that the action of the City Planning Commission on Uniform Land Use Review Procedure Application No. C 150384 ZSM shall be subject to Council Review."
Res 0956-2016,,Resolution,Committee,Committee on Finance,Julissa Ferreras-Copeland,1,"Resolution concerning authorizing an increase in the annual expenditure for the Fulton Mall Special Assessment District, and the setting of the date, time and place for the hearing of the local law increasing the annual expenditure for such district"
Int 1047-2016,,Introduction,Committee,Committee on Finance,Julissa Ferreras-Copeland,1,"A Local Law to amend the administrative code of the city of New York, in relation to authorizing an increase in the amount to be expended annually in the Fulton Mall special assessment district"
Int 1048-2016,,Introduction,Committee,Committee on Transportation,David G. Greenfield,1,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting immediate towing of certain vehicles"
M 0364-2016,,Mayor's Message,"Received, Ordered, Printed and Filed",City Council,,0,"Communication from the Mayor – Submitting the report, and supporting the recommendations, of the Advisory Commission for the Review of Compensation Levels of Elected Officials."
M 0363-2016,,Mayor's Message,Committee,"Committee on Rules, Privileges and Elections",,0,"Communication from the Mayor - Submitting the name of Shin-pei Tsay to the Council for its advice and consent regarding her appointment as a member of the New York City Art Commission, known as the Public Design Commission, pursuant to Sections 31 and 851 of the New York City Charter."
Int 1052-2016,,Introduction,Committee,Committee on Technology,James Vacca,1,"A Local Law to amend the administrative code of the city of New York, in relation to agency disposal of electronics"
Int 1050-2016,,Introduction,Committee,Committee on Transportation,David G. Greenfield,3,"A Local Law to amend the administrative code of the city of New York, in relation to suspending parking meter and muni-meter regulations on the Friday after Thanksgiving"
Res 0955-2016,,Resolution,Committee,Committee on Transportation,Elizabeth S. Crowley,8,"Resolution calling upon the New York State Legislature to pass, and the Governor to sign, legislation that equalizes the amount of per-trip taxes imposed on taxis and for-hire vehicles in New York City."
Int 1049-2016,,Introduction,Committee,Committee on Transportation,David G. Greenfield,3,"A Local Law to amend the administrative code of the city of New York, in relation to permissible parking at non-functioning fire hydrants."
Int 1051-2016,,Introduction,Committee,Committee on Technology,Helen K. Rosenthal,1,"A Local Law to amend the administrative code of the city of New York, in relation to the creation of a notification system for service requests and complaints"
Int 1053-2016,,Introduction,Committee,Committee on Housing and Buildings,James Vacca,4,"A Local Law to amend the administrative code of the city of New York, in relation to elevator maintenance company licenses and elevator maintenance company director licenses"
Res 0970-2016,,Resolution,Adopted,Committee on Land Use,David G. Greenfield,2,"Resolution approving the application submitted by the New York City Department of Housing Preservation and Development and the decision of the City Planning Commission, ULURP No. C 160003 HAK, approving the designation of properties located at 679, 669 Van Sinderen Avenue, and 169-182 New Lots Avenue (Block 3850, Lot 1 and Block 3865, Lots 24, 25, 26, 27, 128 and 129), Borough of Brooklyn, as an Urban Development Action Area, approving an Urban Development Action Area Project, and approving the disposition of city-owned properties located at 679 and 669 Van Sinderen Avenue, and 169-182 New Lot"
Res 0969-2016,,Resolution,Adopted,Committee on Land Use,David G. Greenfield,2,"Resolution approving the decision of the City Planning Commission on ULURP No. C 160002 ZMK, a Zoning Map amendment (L.U. No. 325)."
Res 0968-2016,,Resolution,Adopted,Committee on Land Use,David G. Greenfield,2,"Resolution approving the decision of the City Planning Commission on ULURP No. C 150428 PPR, for the disposition of one (1) city-owned property located at 475 Brielle Avenue (Block 1955, p/o Lot 1), in Community District 2, Borough of Staten Island (L.U. No. 324)."
Res 0967-2016,,Resolution,Adopted,Committee on Land Use,David G. Greenfield,2,"Resolution approving the decision of the City Planning Commission on ULURP No. C 150422 ZMR, a Zoning Map amendment (L.U. No. 323)."
Res 0966-2016,,Resolution,Adopted,Committee on Land Use,David G. Greenfield,2,"Resolution approving the decision of the City Planning Commission on Application No. N 150421 ZRR, for an amendment of the Zoning Resolution of the City of New York, modifying Article X, Chapter 5, and related sections, concerning the bulk, parking, grading, and private roads regulations in a Tier I Site within the Special Natural Area District and the New York City Farm Colony-Seaview Hospital Historic District in Community District 2, Borough of Staten Island (L.U. No. 322)."
Res 0965-2016,,Resolution,Adopted,Committee on Land Use,David G. Greenfield,2,"Resolution approving the decision of the City Planning Commission on Application No. N 150340 ZRR, for an amendment of the Zoning Resolution of the City of New York, to modify Appendix A of Article X, Chapter 7, concerning the boundaries of Designated Open Space, within the Special South Richmond Development District in Community District 3, Borough of Staten Island (L.U. No. 321)."
Res 0964-2016,,Resolution,Adopted,Committee on Land Use,David G. Greenfield,2,"Resolution affirming the designation by the Landmarks Preservation Commission of the Mount Morris Park Historic District Extension, Borough of Manhattan, Designation List No. DL-484/LP-2571 (L.U. No. 318; 20165168 HKM; N 160068 HKM)."
Res 0963-2016,,Resolution,Adopted,Committee on Land Use,David G. Greenfield,2,"Resolution approving the petition for a revocable consent for an unenclosed sidewalk café located at 233 East 14th Street, Borough of Manhattan (20165190 TCM; L.U. No. 317)."
Res 0962-2016,,Resolution,Adopted,Committee on Land Use,David G. Greenfield,2,"Resolution approving the petition for a revocable consent for an unenclosed sidewalk café located at 176 2nd Avenue, Borough of Manhattan (20165189 TCM; L.U. No. 316)."
Res 0961-2016,,Resolution,Adopted,Committee on Land Use,David G. Greenfield,2,"Resolution approving the petition for a revocable consent for an unenclosed sidewalk café located at 220 Park Avenue South, Borough of Manhattan (20165181 TCM; L.U. No. 315)."
Res 0960-2016,,Resolution,Filed,Committee on Land Use,David G. Greenfield,2,"Resolution approving a motion to file pursuant to withdrawal of the application for a revocable consent for an unenclosed sidewalk café located at 643 Broadway, Borough of Manhattan (20165089 TCM; L.U. No. 300)."
Res 0959-2016,,Resolution,Filed,Committee on Land Use,David G. Greenfield,2,"Resolution approving a motion to file pursuant to withdrawal of the application for a revocable consent for an unenclosed sidewalk café located at 270 6th Avenue, Borough of Manhattan (20165077 TCM; L.U. No. 299)."
T2016-3975,,Oversight,Committee,Committee on Public Housing,,0,"Off-Site Hearing - Oversight – The NextGeneration NYCHA Development Plan Location: Holmes Community Center 415 E 93rd Street New York, NY 10128"
Res 0957-2016,,Resolution,Adopted,Committee on Finance,Julissa Ferreras-Copeland,1,Resolution approving the new designation and changes in the designation of certain organizations to receive funding in the Expense Budget
T2016-3951,,Oversight,Committee,"Committee on Cultural Affairs, Libraries and International Intergroup Relations",,0,Oversight - Examining Cultural Non-Profits in the New York City Juvenile Justice System.
T2016-3950,,Oversight,Committee,Committee on Juvenile Justice,,0,Oversight - Examining Cultural Non-Profits in the New York City Juvenile Justice System.
T2016-3947,,Oversight,Committee,Committee on Civil Service and Labor,,0,Oversight - Update on the Mayor’s Structural Reforms of the City’s Workforce Development Systems.
T2016-3946,,Oversight,Committee,Committee on Small Business,,0,Oversight - Update on the Mayor’s Structural Reforms of the City’s Workforce Development Systems.
T2016-3945,,Oversight,Committee,Committee on Economic Development,,0,Oversight - Update on the Mayor’s Structural Reforms of the City’s Workforce Development Systems.
T2016-3944,,Oversight,Committee,Committee on Sanitation and Solid Waste Management,,0,"Oversight - Update Concerning Local Law 77 of 2013, Which Created a Curbside Organics Collection Pilot Program."
T2016-3943,,Oversight,Filed,Committee on Parks and Recreation,,0,Oversight - Examining the Future of Hart Island
T2016-3942,,Oversight,Filed,Committee on Fire and Criminal Justice Services,,0,Oversight - Examining the Future of Hart Island
M 0362-2016,,Land Use Call-Up,Adopted,City Council,David G. Greenfield,1,"By the Chair of the Land Use Committee Council Member Greenfield: Pursuant to Rule 11.20(c) of the Council Rules and Section 197-d(b)(3) of the New York City Charter, the Council hereby resolves that the action of the City Planning Commission on Uniform Land Use Review Procedure Application No. C 150428 PPR shall be subject to Council review. This item is related to Application Nos. N 150421 ZRR and C 150422 ZMR which are subject to Council review pursuant to Section 197-d(b)(1) of the New York City Charter."
M 0361-2016,,Land Use Call-Up,Adopted,City Council,Rosie Mendez,1,"By Council Member Mendez: Pursuant to Rule 11.20(b) of the Council and §20-226 or §20-225 of the New York City Administrative Code, the Council resolves that the action of the Department of Consumer Affairs approving an unenclosed sidewalk café located at 33 Avenue B, Borough of Manhattan, Community Board 3, Application No. 20165210 TCM shall be subject to review by the Council."
M 0360-2016,,Communication,"Received, Ordered, Printed and Filed",City Council,,0,"Communication from Council Member Maria del Carmen Arroyo - Submitting her resignation from the office of New York City Council Member of the 17th Council district effective at the end of the day, December 31, 2015."
Int 1044-2016,,Introduction,Committee,Committee on Housing and Buildings,The Public Advocate (Ms. James),6,"A Local Law to amend the administrative code of the city of New York, in relation to denying building permits where a residential building has an excessive number of violations"
LU 0326-2016,,Land Use Application,Adopted,"Subcommittee on Planning, Dispositions and Concessions",David G. Greenfield,1,"Application No. C 160003 HAK submitted by NYC Department of Housing Preservation and Development pursuant to Article 16 of the General Municipal Law for the designation of property located at 679, 669 Van Sinderen Avenue, and 169-182 New Lots Avenue (Block 3850, Lot 1 and Block 3865, Lots 24, 25, 26, 27, 128 and 129), as an Urban Development Action Area and Project and pursuant to Section 197-c of the New York City Charter for the disposition of such property, Borough of Brooklyn, Community Board 5, Council District 42."
LU 0325-2016,,Land Use Application,Adopted,"Subcommittee on Planning, Dispositions and Concessions",David G. Greenfield,1,"Application No. C 160002 ZMK submitted by the Department of Housing Preservation and Development and New Van Sinderen Lots LLC, pursuant to Sections 197-c and 201 of the New York City Charter for the amendment of Zoning Map, Section No. 17d, changing from an M1-1 District to an R7A/C2-4 District property bounded by a line 185 feet southerly of Newport Avenue, a line midway between Van Sinderen Avenue and Snediker Avenue, 430 feet northerly of Linden Avenue, and Van Sinderen Avenue, Borough of Brooklyn, Community Board 5, Council District 42."
LU 0324-2016,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,David G. Greenfield,1,"Application No. C 150428 PPR submitted by the Department of Citywide Administrative Services, pursuant to Section 197-c of the New York City Charter, for the disposition of one (1) city-owned property located at 475 Brielle Avenue (Block 1955, p/o Lot 1) Borough of Staten Island, Community Board 2, Council District 50. This application is subject to review and action by the Land Use Committee only if appealed to the Council pursuant to Charter Section 197-d(b)(2) or called up by vote of the Council pursuant to Charter Section 197-d(b)(3)."
LU 0323-2016,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,David G. Greenfield,1,"Application No. C 150422 ZMR submitted by NFC Associates, LLC and New York City Economic Development Corporation pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section Nos. 26c and 27a, to establish within an existing R3-2 District a C1-3 District near the intersection of Brielle Avenue and Walcott Avenue in the New York City Farm Colony-Seaview Hospital Historic District, Borough of Staten Island, Community Board 2, Council District 50."
LU 0322-2016,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,David G. Greenfield,1,"Application No. N 150421 ZRR submitted by NFC Associates, LLC and New York City Economic Development Corporation pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying Article X Chapter 5, and related sections, concerning the bulk, parking, grading, and private roads regulations in a Tier I site within the Special Natural Area District and the New York City Farm Colony-Seaview Hospital Historic District, Borough of Staten Island, Community Board 2, Council District 50."
LU 0321-2016,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,David G. Greenfield,1,"Application No. N 150340 ZRR submitted by BIRB Realty Inc. pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying Appendix A of Article X, Chapter 7, concerning the boundaries of Designated Open Space, within the Special South Richmond Development District, Borough of Staten Island, Community Board 3, Council District 51."
LU 0320-2016,,Land Use Application,Laid Over in Committee,Subcommittee on Zoning and Franchises,David G. Greenfield,1,"Application No. 20165210 TCM pursuant to Section 20-226 of the Administrative Code of the City of New York, concerning the petition of Becaf, LLC, d/b/a Poco NYC for a revocable consent to establish, maintain and operate an unenclosed sidewalk café located at 33 Avenue B, Borough of Manhattan, Community Board 3, Council District 2. This application is subject to review and action by the Land Use Committee only if called-up by vote of the Council pursuant to Rule 11.20b of the Council and Section 20-226 of the New York City Administrative Code."
Int 1041-2016,,Introduction,Committee,Committee on Parks and Recreation,Daniel Dromm,1,"A Local Law in relation to renaming two thoroughfares and public places in the Borough of Queens, 84th Place, and to amend the official map of the city of New York accordingly."
Int 1043-2016,,Introduction,Committee,Committee on Housing and Buildings,Stephen T. Levin,2,"A Local Law to amend the administrative code of the city of New York, in relation to requiring that all new and substantially renovated buildings conduct blower door testing"
Int 1045-2016,,Introduction,Committee,Committee on Governmental Operations,The Public Advocate (Ms. James),4,"A Local Law to amend the administrative code of the city of New York, in relation to enforcement of the nuisance abatement law"
Int 1046-2016,,Introduction,Committee,Committee on Governmental Operations,Ritchie J. Torres,5,"A Local Law to amend the New York city charter, in relation to posting information about community board members online"
Res 0958-2016,,Resolution,Committee,Committee on Consumer Affairs,Donovan J. Richards,2,Resolution calling upon the United States Consumer Product Safety Commission to establish lower total content levels of regulated chemicals for children’s toys and to establish consistent standards for all children’s products
T2016-3940,,Oversight,Committee,"Committee on Mental Health, Developmental Disability, Alcoholism, Substance Abuse and Disability Services",,0,Oversight - Thrive NYC: A Mental Health Roadmap for All
T2016-3939,,Oversight,Filed,Committee on Transportation,,0,"Oversight - Upgrading New York City Parking Systems for Greater Efficiency, Safety, and Reliability."
T2016-3928,,Oversight,Filed,Committee on General Welfare,,0,Oversight - Hunger in New York City
T2016-3927,,Oversight,Filed,Committee on Youth Services,,0,Oversight - Connecting Young People to Volunteer Opportunities
T2016-3922,,Oversight,Filed,Committee on Aging,,0,Oversight - Social Adult Day Care Follow-Up
Int 1042-2016,2016/009,Introduction,Enacted,Committee on Finance,Julissa Ferreras-Copeland,2,"A Local Law in relation to the date of submission by the mayor of the preliminary certificate regarding debt and reserves and appropriations and expenditures for capital projects, the date of submission by the mayor of the preliminary budget, the date by which the council shall hold hearings and submit recommendations in regard to the preliminary budget, relating to the fiscal year two thousand seventeen"
T2016-3921,,Oversight,Filed,Committee on Veterans,,0,Oversight - Veterans Advisory Board: Impact of Last Year’s Reforms
T2016-3920,,Tour,Filed,Committee on Education,,0,"Tour: J.H.S. 50 John D. Wells Location: 183 SOUTH 3 STREET Brooklyn, NY 11211"
T2016-3918,,Oversight,Filed,Committee on Higher Education,,0,Oversight - Are Post-Secondary Institutions in New York City Adequately Training Teachers?
LU 0318-2015,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Siting and Maritime Uses",David G. Greenfield,1,"Application No. 20165168 HKM (N 160068 HKM), pursuant to Section 3020 of the New York City Charter, concerning the designation by the Landmarks Preservation Commission of the Mount Morris Park Historic District Extension (Designation List 484/ LP No. 2571), Borough of Manhattan, Community Board 10, Council District 9, as an historic district."
LU 0317-2015,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,David G. Greenfield,1,"Application No. 20165190 TCM pursuant to Section 20-226 of the Administrative Code of the City of New York, concerning the petition of 4N Corp., d/b/a Blind Pig for a revocable consent to establish, maintain and operate an unenclosed sidewalk café located at 233 East 14th Street, Borough of Manhattan, Community Board 6, Council District 2. This application is subject to review and action by the Land Use Committee only if called-up by vote of the Council pursuant to Rule 11.20b of the Council and Section 20-226 of the New York City Administrative Code."
LU 0316-2015,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,David G. Greenfield,1,"Application No. 20165189 TCM pursuant to Section 20-226 of the Administrative Code of the City of New York, concerning the petition of La Meridiana I, Ltd., d/b/a Numero 28 for a revocable consent to establish, maintain and operate an unenclosed sidewalk café located at 176 2nd Avenue, Borough of Manhattan, Community Board 3, Council District 2. This application is subject to review and action by the Land Use Committee only if called-up by vote of the Council pursuant to Rule 11.20b of the Council and Section 20-226 of the New York City Administrative Code."
LU 0315-2015,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,David G. Greenfield,1,"Application No. 20165181 TCM pursuant to Section 20-226 of the Administrative Code of the City of New York, concerning the petition of Haru Gramercy Park Corp., d/b/a Haru for a revocable consent to establish, maintain and operate an unenclosed sidewalk café located at 220 Park Avenue South, Borough of Manhattan, Community Board 5, Council District 2. This application is subject to review and action by the Land Use Committee only if called-up by vote of the Council pursuant to Rule 11.20b of the Council and Section 20-226 of the New York City Administrative Code."
Res 0933-2015,,Resolution,Adopted,Committee on Finance,Julissa Ferreras-Copeland,2,"Resolution concerning the increase in the annual expenditure for the Myrtle Avenue, Village Alliance, Bryant Park, 14th Street-Union Square, 180th Street, Montague Street, Columbus Avenue, Bay Ridge 5th Avenue, and Belmont Business Improvement Districts, and the Fulton Mall Special Assessment District, and the setting of the date, time and place for the hearing of the local law increasing the annual expenditure for such districts"
Res 0932-2015,,Resolution,Adopted,Committee on Finance,Julissa Ferreras-Copeland,2,"Resolution concerning authorizing an increase in the amount to be expended annually in the Fulton Street Business Improvement District in the Borough of Brooklyn, an extension and modification of the boundaries of the Fulton Street Business Improvement District, and a change in the method of assessment upon which the district charge in the Fulton Street Business Improvement District is based, and setting the date, time and place for the public hearing of the local law authorizing such changes as set forth in the amended District Plan of the Fulton Street Business Improvement District"
Res 0938-2015,,Resolution,Adopted,Committee on Veterans,James G. Van Bramer,12,"Resolution calling on the State Legislature to pass and the Governor to sign S.6087, the New York Restoration of Honor Act"
Res 0939-2015,,Resolution,Adopted,Committee on Veterans,James G. Van Bramer,11,"Resolution calling upon Congress to pass and the President to sign S. 1766 and H.R. 3068, the Restore Honor to Service Members Act."
Res 0923-2015,,Resolution,Adopted,Committee on Contracts,Helen K. Rosenthal,7,"Resolution adopting the rule amendment of the Procurement Policy Board to raise the micropurchase limit for the procurement and award of construction contracts to $35,000."
Res 0909-2015,,Resolution,Adopted,Committee on Recovery and Resiliency,Margaret S. Chin,11,Resolution calling on the United States Department of Housing and Urban Development to support New York City's application for National Disaster Resilience Competition funding
LU 0300-2015,,Land Use Application,Filed,Subcommittee on Zoning and Franchises,David G. Greenfield,1,"Application No. 20165089 TCM pursuant to Section 20-226 of the Administrative Code of the City of New York, concerning the petition of 643 Broadway Holdings LLC, for a revocable consent to establish, maintain and operate an unenclosed sidewalk café located at 643 Broadway, Borough of Manhattan, Community Board 2, Council District 1. This application is subject to review and action by the Land Use Committee only if called-up by vote of the Council pursuant to Rule 11.20b of the Council and Section 20-226 of the New York City Administrative Code."
LU 0299-2015,,Land Use Application,Filed,Subcommittee on Zoning and Franchises,David G. Greenfield,1,"Application No. 20165077 TCM pursuant to Section 20-226 of the Administrative Code of the City of New York, concerning the petition of Bar Giacosa Corp., d/b/a Il Pittino for a revocable consent to establish, maintain and operate an unenclosed sidewalk café located at 270 6th Avenue, Borough of Manhattan, Community Board 2, Council District 3. This application is subject to review and action by the Land Use Committee only if called-up by vote of the Council pursuant to Rule 11.20b of the Council and Section 20-226 of the New York City Administrative Code."
Int 0916-2015,2016/008,Introduction,Enacted,Committee on Technology,James Vacca,7,A Local Law in relation to an open data law agency compliance examination
Int 0908-2015,2016/007,Introduction,Enacted,Committee on Technology,Annabel Palma,6,"A Local Law to amend the administrative code of the city of New York, in relation to the review of data requested through FOIL for inclusion on the open data portal"
Int 0609-2015,2016/006,Introduction,Enacted,Committee on Environmental Protection,Costa G. Constantinides,41,"A Local Law to amend the administrative code of the city of New York, in relation to geothermal systems"
Int 0603-2014,2016/004,Introduction,Enacted,Committee on Transportation,James G. Van Bramer,33,"A Local Law to amend the administrative code of the city of New York, in relation to increasing civil penalties for leaving the scene of an incident without reporting"
Int 0604-2014,2016/005,Introduction,Enacted,Committee on Transportation,James G. Van Bramer,32,"A Local Law to amend the administrative code of the city of New York, in relation to reporting information related to leaving the scene of an incident without reporting"
Res 0504-2014,,Resolution,Adopted,Committee on Housing and Buildings,Stephen T. Levin,14,"Resolution calling upon the State of New York to match the City of New York’s commitment to create 15,000 units of supportive housing over 15 years, and the State of New York and the City of New York to approve a fourth “New York/New York Agreement” to create permanent supportive housing"
Int 0128-2014,2016/003,Introduction,Enacted,Committee on Economic Development,Fernando Cabrera,14,"A Local Law to amend the New York city charter, in relation to requiring that community planning boards receive an annual report submitted to the mayor with regard to projected and actual jobs created and retained in connection with projects undertaken by a certain contracted entity for the purpose of the creation or retention of jobs."
Int 0108-2014,2016/001,Introduction,Enacted,Committee on Civil Rights,Deborah L. Rose,23,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting employment discrimination based on an individual's actual or perceived status as a caregiver"
Int 0065-2014,2016/002,Introduction,Enacted,Committee on Public Safety,David G. Greenfield,45,"A Local Law to amend the administrative code of the city of New York, in relation to a program to reimburse nonpublic schools for the cost of security guard services."
T2014-0002,,Commissioner of Deeds,Adopted,City Council,,0,Commissioner of Deeds
